Simulation	B	(B_variance)^(1/2)	Tvalue
650	-0.000952365	0.00507002	-0.187843
651	-0.00125034	0.00493943	-0.253134
652	0.000260104	0.00490068	0.053075
653	-0.00132773	0.00482728	-0.275047
654	-0.000937574	0.00460685	-0.203517
655	0.000879457	0.00479427	0.183439
656	-0.000674296	0.00452061	-0.14916
657	-0.000227749	0.0047027	-0.0484294
658	0.00064804	0.00461003	0.140572
659	0.00125987	0.00507002	0.248494
660	-0.000234372	0.00446174	-0.0525292
661	0.000438951	0.00463028	0.0948001
662	0.00103294	0.00432635	0.238755
663	-0.00134409	0.00482683	-0.278461
664	0.000263001	0.00510067	0.0515621
665	-0.00131401	0.00461372	-0.284805
666	-0.00157272	0.00492864	-0.319098
667	0.00139658	0.00463931	0.301031
668	-0.000961158	0.00440681	-0.218107
669	-0.00126744	0.00466767	-0.271535
670	-0.00167099	0.00489364	-0.341462
671	-2.49584e-005	0.00469854	-0.00531194
672	-0.000613925	0.00438669	-0.139952
