Simulation	B	(B_variance)^(1/2)	Tvalue
654	0.00194062	0.00460685	0.421247
655	-0.0021996	0.00479426	-0.458797
656	0.00123105	0.00452061	0.272319
657	0.00155185	0.00470269	0.329992
658	-0.000826921	0.00461003	-0.179374
659	-0.00261089	0.00507	-0.514968
660	-0.000228914	0.00446174	-0.051306
661	-0.000524825	0.00463028	-0.113346
662	-0.00237696	0.00432634	-0.549417
663	0.00240137	0.00482682	0.497505
664	-0.000905576	0.00510067	-0.177541
665	0.00228472	0.00461371	0.495202
666	0.00244953	0.00492863	0.497001
667	-0.00242234	0.0046393	-0.522134
668	0.00165488	0.0044068	0.375529
669	0.00239188	0.00466766	0.512437
670	0.00255506	0.00489363	0.522121
671	-3.22838e-005	0.00469854	-0.00687103
672	0.00147751	0.00438668	0.336818
673	-0.000739925	0.00530739	-0.139414
674	0.00220122	0.00429896	0.512035
675	0.00259135	0.00534044	0.485231
676	0.000627109	0.00460686	0.136125
677	-0.00636824	0.0049056	-1.29816
678	-0.00172046	0.00503296	-0.341839
679	0.000320583	0.00486569	0.0658863
680	0.0025731	0.00530149	0.485354
681	-0.000721953	0.00492792	-0.146503
682	0.00232043	0.00460684	0.503692
683	0.0021374	0.00438668	0.487248
684	0.00140788	0.00511359	0.275321
685	0.00233722	0.00503346	0.464337
686	0.00209482	0.00467747	0.447854
687	0.00215259	0.00417538	0.515543
688	0.00161241	0.00466828	0.345397
689	0.0015264	0.00468799	0.325599
690	-0.000124299	0.00463812	-0.0267994
691	0.00221861	0.00435648	0.509268
692	0.00221709	0.00435846	0.508686
693	0.00174315	0.00486201	0.358524
694	0.00215285	0.0049628	0.433797
695	0.00183937	0.00503296	0.365464
696	0.00248496	0.00514297	0.483176
697	0.00237437	0.00454909	0.521944
698	0.00107391	0.0045476	0.236149
699	0.00223737	0.00482098	0.46409
700	0.00184688	0.00463811	0.398197
701	0.00223594	0.00514946	0.434207
